0.0          0.05         540.0119099748
0.0          0.095        250.2690259789
0.0          0.14         122.5123737393
0.0          0.185        58.6816204568
0.0          0.23         26.4275639407
0.0          0.275        11.121036291
0.0          0.32         5.0079701728
0.0          0.365        3.5894064722
0.0          0.41         4.1481868097
0.0          0.455        5.0588112959
0.0          0.5          5.4540120899
0.0          0.545        5.0588112959
0.0          0.59         4.1481868097
0.0          0.635        3.5894064722
0.0          0.68         5.0079701728
0.0          0.725        11.121036291
0.0          0.77         26.4275639407
0.0          0.815        58.6816204568
0.0          0.86         122.5123737393
0.0          0.905        250.2690259789
0.0          0.95         540.0119099748
0.025        0.05         567.1376729572
0.025        0.095        273.1020875372
0.025        0.14         140.6828517694
0.025        0.185        72.4389272367
0.025        0.23         36.2046855558
0.025        0.275        17.4438362957
0.025        0.32         8.4455150971
0.025        0.365        4.7440620898
0.025        0.41         3.6464431684
0.025        0.455        3.5487941763
0.025        0.5          3.6002710475
0.025        0.545        3.5445011761
0.025        0.59         3.676587419 
0.025        0.635        4.888071799 
0.025        0.68         8.8336349117
0.025        0.725        18.2691271785
0.025        0.77         37.7524392609
0.025        0.815        75.1344501371
0.025        0.86         145.229581381
0.025        0.905        280.807243315
0.025        0.95         581.4386415374
0.05         0.05         597.387971383
0.05         0.095        298.2469592108
0.05         0.14         160.8840075479
0.05         0.185        88.1488720924
0.05         0.23         47.96190257 
0.05         0.275        25.8236345249
0.05         0.32         14.0433774028
0.05         0.365        8.1703607522
0.05         0.41         5.5197846027
0.05         0.455        4.4973835261
0.05         0.5          4.2607091896
0.05         0.545        4.558440163 
0.05         0.59         5.6973464977
0.05         0.635        8.5755506719
0.05         0.68         14.8598826777
0.05         0.725        27.3262976352
0.05         0.77         50.554073218
0.05         0.815        92.4411607029
0.05         0.86         167.8794251372
0.05         0.905        309.8318696909
0.05         0.95         618.5340556173
0.075        0.05         629.1083674505
0.075        0.095        324.9328763877
0.075        0.14         182.7554502043
0.075        0.185        105.6665547862
0.075        0.23         61.6630272695
0.075        0.275        36.2716073796
0.075        0.32         21.8210125397
0.075        0.365        13.867630562
0.075        0.41         9.7379307939
0.075        0.455        7.8421014092
0.075        0.5          7.343434746 
0.075        0.545        7.9985744237
0.075        0.59         10.119495958
0.075        0.635        14.6094685464
0.075        0.68         23.1502979269
0.075        0.725        38.5283297836
0.075        0.77         65.3393669366
0.075        0.815        111.5229650552
0.075        0.86         192.0261882947
0.075        0.905        339.982186373
0.075        0.95         656.1799810753
0.1          0.05         662.2089736189
0.1          0.095        353.1321291723
0.1          0.14         206.3006105134
0.1          0.185        125.013875928
0.1          0.23         77.3360456877
0.1          0.275        48.8159119346
0.1          0.32         31.801272608
0.1          0.365        21.8598021137
0.1          0.41         16.3164493335
0.1          0.455        13.5964991008
0.1          0.5          12.8600778056
0.1          0.545        13.8739465968
0.1          0.59         16.9516139145
0.1          0.635        23.009392217
0.1          0.68         33.7307910023
0.1          0.725        51.9123068379
0.1          0.77         82.1792805186
0.1          0.815        132.4855638118
0.1          0.86         217.8505094596
0.1          0.905        371.5347447524
0.1          0.95         694.847759031
0.125        0.05         696.6686712386
0.125        0.095        382.872279761
0.125        0.14         231.5522332568
0.125        0.185        146.2302647767
0.125        0.23         95.0163282086
0.125        0.275        63.4965373725
0.125        0.32         44.0231344463
0.125        0.365        32.1747147331
0.125        0.41         25.2884131126
0.125        0.455        21.7832867783
0.125        0.5          20.8333362582
0.125        0.545        22.2076642656
0.125        0.59         26.2190241934
0.125        0.635        33.7964727971
0.125        0.68         46.6271664174
0.125        0.725        67.5204070195
0.125        0.77         101.1123022504
0.125        0.815        155.3974469624
0.125        0.86         245.4367734203
0.125        0.905        404.6346526447
0.125        0.95         734.7844692569
0.15         0.05         732.5145503991
0.15         0.095        414.1868847277
0.15         0.14         258.5610692659
0.15         0.185        169.3530737581
0.15         0.23         114.7519228925
0.15         0.275        80.3541191133
0.15         0.32         58.5256804024
0.15         0.365        44.8564255138
0.15         0.41         36.6875525607
0.15         0.455        32.4427074688
0.15         0.5          31.2994790027
0.15         0.545        33.031281759
0.15         0.59         37.9583433924
0.15         0.635        47.0090056531
0.15         0.68         61.8821395823
0.15         0.725        85.3970882251
0.15         0.77         122.2055969775
0.15         0.815        180.3205106507
0.15         0.86         274.871101574
0.15         0.905        439.3805638439
0.15         0.95         776.1232438423
0.175        0.05         769.7969754164
0.175        0.095        447.1223831747
0.175        0.14         287.3663325536
0.175        0.185        194.4445327279
0.175        0.23         136.5927615869
0.175        0.275        99.4376623884
0.175        0.32         75.3581659344
0.175        0.365        59.94997766 
0.175        0.41         50.5589105234
0.175        0.455        45.6169661352
0.175        0.5          44.3015704148
0.175        0.545        46.3905740603
0.175        0.59         52.2102345283
0.175        0.635        62.6913883243
0.175        0.68         79.5436055354
0.175        0.725        105.5903539782
0.175        0.77         145.5031802218
0.175        0.815        207.3230238058
0.175        0.86         306.2226369283
0.175        0.905        475.8700637835
0.175        0.95         819.0093350993
0.2          0.05         808.547636847
0.2          0.095        481.7410502351
0.2          0.14         318.0396621278
0.2          0.185        221.5579488012
0.2          0.23         160.5958673657
0.2          0.275        120.8045647015
0.2          0.32         94.5763097693
0.2          0.365        77.5080837272
0.2          0.41         66.9572464914
0.2          0.455        61.3568159618
0.2          0.5          59.8911136392
0.2          0.545        62.3364758608
0.2          0.59         69.026926328
0.2          0.635        80.8979636023
0.2          0.68         99.6665975505
0.2          0.725        128.1635515097
0.2          0.77         171.0746142427
0.2          0.815        236.4738244756
0.2          0.86         339.5774653201
0.2          0.905        514.1886751461
0.2          0.95         863.5482845945
0.225        0.05         848.839762315
0.225        0.095        518.1135215064
0.225        0.14         350.6406558788
0.225        0.185        250.7607061809
0.225        0.23         186.8278697551
0.225        0.275        144.5209480207
0.225        0.32         116.2381343654
0.225        0.365        97.592369395
0.225        0.41         85.9415033794
0.225        0.455        79.7238737086
0.225        0.5          78.1249228055
0.225        0.545        80.9286887268
0.225        0.59         88.4721854645
0.225        0.635        101.6940765869
0.225        0.68         122.3146027469
0.225        0.725        153.1818921105
0.225        0.77         198.9924435314
0.225        0.815        267.8454327156
0.225        0.86         375.0189074821
0.225        0.905        554.4392686388
