0.25	0
0.75	0
1.25	0
1.75	0
2.25	0
2.75	0
3.26	5.40
3.74	13.37
4.26	8.63
4.74	3.49
5.26	1.60
5.74	1.11
6.26	0.86
6.74	0.71
7.26	0.63
7.74	0.51
8.26	0.49
8.74	0.40
9.26	0.37
9.74	0.31
10.26	0.26
10.74	0.23
11.26	0.23
11.74	0.20
12.26	0.17
12.74	0.14
13.26	0.11
13.74	0.09
14.26	0.06
14.74	0.06
15.26	0.06
15.74	0.03
16.26	0.03
16.74	0.00
17.26	0.00
17.74	0.00
18.26	0.00
18.74	0.00
19.26	0.00
19.74	0.00
